Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,NOTE,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2,GlobalID,avg_speed_kmh,on_time_pct,is_partial_year_data,reliability_risk_score,boardings_per_revenue_hour,line_id_list
407,GILBERT/BRIDGEPORT,Southwest,Std. Bus,Standard,98000,83000,16.7,24 km/h,85,916547,2983,1533,1449,0.0,77%,3605710.0,33254,,Bridgeport; Knight Street-Marine Drive; Lansdowne; Steveston,Canada Line,54647.2604467127,2024,762,54647.2604467071,53752011-f94d-4cb6-ac7a-0c1fb4353e1a,24.0,77.0,False,210805.81,inf,['407']
405,FIVE ROAD/CAMBIE,Southwest,Std. Bus,Standard,83000,79000,18.7,25 km/h,103,657401,2091,1277,1083,0.0,68%,2446474.0,23129,,Knight Street-Marine Drive; Lansdowne; Richmond-Brighouse,Canada Line,49994.9128825953,2024,760,49994.912882628,7e195415-bde8-4d2e-9214-0187afced70c,25.0,68.0,False,210368.32,inf,['405']
408,BRIGHOUSE/IRONWOOD/RIVERPORT,Southwest,Std. Bus,Peak Frequent,63000,37000,8.3,23 km/h,65,1214568,3827,2479,2044,4.0,84%,2866000.0,26822,,Richmond-Brighouse,Canada Line,19378.7244293608,2024,763,19378.724429342,d2caa44c-91ac-4d9c-bef4-b2106bb32171,23.0,84.0,False,194330.88,303642.0,['408']
325,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Standard,60000,29000,7.5,18 km/h,55,1424076,4231,3369,3008,16.0,87%,1985540.0,20638,,Newton; Surrey Central,Expo/Millennium Line,16053.4779496984,2024,730,16053.4779497021,92c34332-d844-4e5e-988d-1e46f05b1157,18.0,87.0,False,185129.88,89004.75,['325']
640,LADNER EXCH/SCOTT ROAD STN,Southeast,Std. Bus,Peak Frequent,15000,25000,20.6,35 km/h,60,1304091,4419,1911,1606,3.0,86%,4369054.0,47403,,Ladner; Scott Road,Expo/Millennium Line,50630.7643542935,2024,788,50630.7643543138,c0a3c714-7f1a-42a5-8c58-7c5f358a2bdb,35.0,86.0,False,182572.74,434697.0,['640']
027,KOOTENAY LOOP/JOYCE STN,Vancouver/UBC,Std. Bus,Peak Frequent,61000,25000,5.7,16 km/h,67,1202014,3663,2903,2139,0.0,85%,2093618.0,19647,,Joyce-Collingwood; Kootenay; Rupert,Expo/Millennium Line,19823.1115297108,2024,632,19823.1115297163,e30d015c-ff21-409d-9b38-1d95d10f71e8,16.0,85.0,False,180302.1,inf,['027']
222,METROTOWN STATION/PHIBBS EXCHANGE,North Shore,Std. Bus,Peak Only - Limited,75000,53000,11.8,23 km/h,81,946139,3793,0,1650,10.0,81%,1821274.0,17586,New route to Phibbs Exchange/Metrotown Stn starting Apr 2020,Brentwood Town Centre; Kootenay; Metrotown; Phibbs,Expo/Millennium Line,30368.4960176616,2024,696,30368.4960176862,0d01785f-cfc4-48f5-a5c6-18789b5bb4e8,23.0,81.0,False,179766.41,94613.9,['222']
341,GUILDFORD/NEWTON EXCH,Southeast,Std. Bus,Standard,82000,28000,9.1,20 km/h,76,1002158,3036,2235,1999,7.0,83%,2024962.0,20772,,,,25026.2985682934,2024,736,25026.2985683094,c19aed4a-68df-4887-86c5-acb9a66e44e0,20.0,83.0,False,170366.86,143165.42857142858,['341']
104,22ND ST STN/ANNACIS ISLAND,Southeast,Std. Bus,Peak Frequent,14000,18000,8.1,25 km/h,89,884970,3069,1281,832,4.0,81%,1899527.0,20002,,22nd Street,Expo/Millennium Line,27643.9348751698,2024,646,27643.9348751694,51273354-ed74-4293-a13a-ac5ab6250cd5,25.0,81.0,False,168144.3,221242.5,['104']
110,LOUGHEED STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Standard,87000,58000,11.8,22 km/h,86,902144,2903,1643,1443,1.0,82%,3383442.0,32243,,Lougheed Town Centre; Metrotown; Patterson; Production Way-University; Sperling-Burnaby Lake,Expo/Millennium Line,38513.2887959602,2024,650,38513.2887959583,5360388c-dfcb-4fea-aeae-a9c7be3f565e,22.0,82.0,False,162385.92,902144.0,['110']
101,LOUGHEED STN/22ND ST STN,Burnaby/New Westminster,Std. Bus,Standard,88000,35000,9.5,19 km/h,84,927683,2914,1894,1595,3.0,83%,2388155.0,23476,,22nd Street; Edmonds; Lougheed Town Centre,Expo/Millennium Line,23687.0411277991,2024,644,23687.041127811,b11f3f10-87c2-4e89-8ca5-935ba1dede4a,19.0,83.0,False,157706.11,309227.6666666667,['101']
026,JOYCE STN/29TH AVENUE STN,Vancouver/UBC,Std. Bus,Peak Frequent,67000,14000,9.9,19 km/h,64,1230506,3923,2536,1876,0.0,88%,2951485.0,27250,,29th Avenue; Joyce-Collingwood,Expo/Millennium Line,19092.4620943225,2024,631,19092.4620943025,5e8fc4a9-03b7-4557-8046-73f52ae2d160,19.0,88.0,False,147660.72,inf,['026']
